,menu
1933,Chicken Sashlik
1934,Poori (One)
1935,Tandoori Chicken Uttapam
1936,"""Quit India"" Chicken Fry"
1937,CHICKEN SLIDER COMBO
1938,Vegetable Dum Ka Biryani
1939,Tonic Water
1940,Curry Bone Chicken Dinner With Rice
1941,Lamb Boti Kabab
1942,Avakai Veg Biryani
1943,Quality Biryani
1944,Salted Mint Lassi
1945,Bombay Vegetable Sandwich
1946,Schezuan Egg Noodles
1947,Patato Fry Curry(Suki Bhaji) 120z
1948,Chicken Methi Large
1949,Mushroom Soups
1950,Chicken Bhuna (Boneless)
1951,Idli (3 Pieces)
1952,Chicken Tikka Dosa
1953,"""Teddy Bear"" Dosa"
1954,Mushroom Samosa
1955,Gulab Jamun (2pc)
1956,Turshil Jhingha
1957,Gobhi Parantha
1958,Catering Shrimp Saag
1959,MINI FRUIT TART
1960,Rayo Ko Saag (V)
1961,Chicken Korma Moghlai
1962,Gongura Chicken Fry
1963,Aloo Tikki Salad
1964,Desi Green Salad
1965,India Soda
1966,Schezuan Egg & Chicken Fried Rice
1967,Mixed Platter (Lunch)
1968,VEG SAMOSA LARGE
1969,Galab Jamun
1970,Curry Shrimp Side Order ( 5 Only)
1971,NNC (No Name Chicken)
1972,Lamb Chow Mein
1973,Lamb Tikka ( Small Tray )
1974,Lunch Malai Kofta
1975,Catering Butter Chicken (Party)
1976,Chickpea Tikka Saag
1977,Goat Masala
1978,Sabji Jalfrazi
1979,Special Momo
1980,"Mini ""Karam Podi"" Idli"
1981,Free Samosa
1982,Still Water 28oz
1983,VANILLA FROSTED VANILLA CUPCAKE
1984,Dahi Poori
1985,Cookies Cream Milkshake
1986,Gongura Chicken Pulusu
1987,Veg. Hyderabadi Sabji
1988,Chana Masala( Vegan)
1989,Aloo Palak (Lunch)
1990,Shrimp Biriyani (Gluten Free)
1991,Kwati Soup
1992,Curry Paneer
1993,Lamb Rogan Josh
1994,"""Naidugari"" Naatu Kodi Curry (Country Chicken Curry)"
1995,Cheese Chili Naan
1996,Palao Rice
1997,Mulligtwney(Lentil)Soup
1998,"""Tiranga Dosa"" (1947 Special)"
1999,Bhatoora
2000,Mixed Vegetable Curry ( Large Tray )
2001,Mango Mava Milkshake
2002,Parata With Goat Paya
2003,Veg. Chilli Garlic Noodle
2004,Curry (Bone) Goat & Buss Up Shot Roti Until 5pm
2005,Mayuri Special Chicken Roast
2006,Schezwan Egg Fried Rice
2007,Priya Mix Grill
2008,Raita (3oz)
2009,Wings Manchuria
2010,Joti Special Biryani
2011,Pani Poori
2012,Goat Vin Dalo
2013,Aloo Chaat Papdi
2014,Tadka Dal Small
2015,Chicken Jalfrazie
2016,Everest Style Fried Chicken
2017,MURGH METHI
2018,Paneer Tikka Nan Roll-Up
2019,Ulavacharu Chicken Dum Biryani
2020,Shrimp Noodles
2021,Chicken Tikka Masala
2022,Fish Pakoras (GF)
2023,Shahi Paneer
2024,Hot Mix Vegetable Pickle
2025,Gazar Ko Haluwa (20 Pieces)
2026,Meat Samosa (2)
2027,Kali Mirch Ke Tikke
2028,Chickpea Tikka Masala
2029,Chapatti (2)
2030,Chicken 777
2031,Vegetarian Combination Dinner For Two
2032,Aloo Gobhi (Vegan)
2033,Tomato And Coconut Soup
2034,PANEER MASSAGE
2035,Gulab Jamun Small
2036,Beet Salad & Soup
2037,Chicken Kadhai
2038,MURG MALAI TIKKA
2039,Halwa Jamun
2040,GATORADE FROST CHERRY FREEZE
2041,Naan Large
2042,Tofu Xacutti
2043,Chicken Wings
2044,Catering Shan-A-Punjab Goat (Party)
2045,Grlic Naan
2046,Lamb Samosa (2)
2047,Tofu Sashlik
2048,Paneer 55
2049,Samosa Chaat (Chicken/Lamb)
2050,Lamb Coconut Korma
2051,Roti Small
2052,Mahi Mahi Vindaloo
2053,Aloo Matar
2054,Vegetable Cutlet
2055,Lamb Korma
2056,Chicken Curry ( Large Tray )
2057,Nepali Combo Menu 2
2058,Madrashi Fish
2059,Catering Mix Sabzi (Party)
2060,Tato Jhol MO:MO (MO:MO with Hot Soup)
2061,Palak
2062,Chili Idli
2063,STRAWBERRY MILKSHAKE
2064,Ghee Idli
2065,VIJAYAWADA Veg Manchurian
2066,Lamb Tikka (8 pcs)
2067,Chicken Tenders with Fries
2068,VEG PAKORA SMALL
2069,Shahi Paneer Korma Medium
2070,Keema Naan
2071,Masala Aloo Gobi
2072,Wow! Vada Pav ( Set Of 2 )
2073,MURG TIKKA MASALA BRUNCH
2074,Aloo Mutter Sandwich
2075,Goat Curry Small
2076,Goat Madras (HALAL)
2077,Goan Chicken Curry
2078,Diet Coke Can
2079,Extra Raita(8 OZ)
2080,Vege Fried Rice
2081,Tandoori Chicken Small
2082,Rasogolla (2 Pc)
2083,Noodles Dosa
2084,Pistachio Shake
2085,Vegetable Korma
2086,Greek Salad With Chicken Tikka Kebab
2087,Paneer Makhni
2088,Ghobi Manchurian Gravy
2089,Cheese Maggi
2090,Veggie MoMo (Jhol)
2091,Apollo Idly
2092,Malabar Parotta
2093,Paneer Chowmein
2094,Peas Pullao
2095,Rogan Josh Large
2096,Lamb Vindaloo
2097,Curry Beef Dinner With Rice
2098,GUEST SIZE - (7)
2099,Corona Light
2100,Plain Uthappam
2101,Chicken Samosa (2)
2102,Shahi Paneer Korma Small
2103,Catering Shahi Paneer
2104,Fish Pakoras
2105,Saag Paneer
2106,Paneer Methi Malai
2107,Pav Bhaji With Toasted Toll - With Barbecued Chicken
2108,Chicken Saagwala
2109,Pashwary Naan
2110,Lamb Dilruba
2111,SPICY BANANA CHIPS
2112,Paradise Goat Fry
2113,Achari Curry
2114,Bhartha Saag
2115,Ansac
2116,TASHANDAAR JAMUN
2117,Butter Lamb
2118,Khasiko Sekuwa
2119,Chicken 555
2120,CHICKEN CHETTINADU
2121,Goan Fish Curry
2122,Paneer Masala
2123,Dhaba Style Aloo Korma
2124,Dhaba Special Biryani
2125,Chicken Jhalfrezi
2126,Dry Fruit Lassi
2127,RAGDA POORI 10pc
2128,Saag Panner
2129,MASKA PANEER
2130,Bombay Bhaji Chicken
2131,Mutton Rara
2132,Lamb Korma Catering
2133,Mix Meat Curry
2134,Chicken Tikka Satay
2135,Tandoori Mixed Grill
2136,Coconut Soup
2137,Gajar Halwa
2138,Catering Shrimp Jalfrezi
2139,Indian Style Pizza
2140,Vegetable Samosa (Lunch)
2141,Achari Lamb Josh
2142,Idli/Vada Combo
2143,Rogni Nan
2144,Basil Garlic Naan
2145,Lamb Chops
2146,Pineapple Lassi
2147,Mutton Thali Set
2148,Kachori Chat
2149,Aloo Nan
2150,Butter Chicken.
2151,Lamb Jhalfrezi
2152,Kali Mirch Ke Tikka Small
2153,Badami Naan
2154,Himalayan Vegetable Platter
2155,Combination Of Gajar Ka Halwa With Vanilla Ice Cream
2156,Raju Gari Shrimp Pulav
2157,Paneer Do Pyazza
2158,Veg Samosas
2159,Methi Paratha (W/Raita)
2160,Perrier Water
2161,Seek Kebab
2162,Roadside Fried Rice
2163,Ghee Dosa
2164,Combo Platter
2165,Rice Q.
2166,Plantain Momo (Vegan)
2167,LOUSY LAMB
2168,Honest Hungama Veg
2169,Shrimp Curry (Lunch)
2170,Gourmet Ice Cream
2171,Shrimp Pakora (gluten free)
2172,Murch Korma
2173,Fries
2174,Buss-Up Shot Roti (Paratha)
2175,Chick Hak Noodl
2176,Chicken Tenders
2177,20. Mix & Match Lamb Chop Platter
2178,Goat Bahar (With Bone) (Lunch)
2179,Veggie & Rice Combo
2180,Butter Tandoori Roti
2181,TASHANDAAR JAMUN LUNCH
2182,Minerva Special Royyala Vepudu (Pan Fried Chili Shrimp)
2183,ALOO TIKKI MEDIUM
2184,Panner Biryani
2185,Nizami Biryani - Lamb (Halal) (Gluten Free)
2186,Methi Paratha
2187,Shrimp Hyderabadi
2188,Gobi Manchurian (Vegan)
2189,Kabuli Chana Small
2190,"""CHANA"" BATURA"
2191,Catering Paneer Pakora (Party)
2192,Chutney
2193,Grand India Special Mango Lamb
2194,Mysor Masala Dosa
2195,Coriander Vegetables Platter
2196,Vegetable Momo (50 Pieces)
2197,Masala (Egg)
2198,Mayuri Fish Fry (14pc)
2199,Samosa(3)
2200,"Chicken, Lamb Or Goat Biryani"
2201,LAMB VINDALOO
2202,Chicken Dhaniwal Korma
2203,Grand India Mango Shrimp Curry
2204,Tava Roti
2205,Chili Peppercorn
2206,Chapati (Vegan)
2207,Mushroom Curry
2208,Heer-Ranjha Biryani
2209,Samosa Chaat (Veg)
2210,Cold Drinks
2211,Shrimp Masala Large
2212,Pashawary Naan Large
2213,Raita Or Plain Yogurt
2214,Carrot Cake
2215,Podi Idli
2216,Mango Lassi Large Gallon
2217,Bombay Pav Bhaji
2218,Shrimp Madrass
2219,Gobi Manchuria
2220,Hyd Goat Biryani
2221,Shanti Platter
2222,Cheery Naan
2223,Wine Chicken
2224,Poori (Wheat Flour)
2225,Rice Kheer
2226,POMEGRANATE PANEER PAKORA
2227,Malabar Paratha
2228,56. Garlic Naan
2229,Chicken Curry
2230,Gobi Manchurian
2231,Special Plasticware
2232,Chicken Pakora (5 Pcs)
2233,Catering Navratan Korma
2234,Butter Paratha
2235,Tandoori Chicken
2236,Jeera Aloo
2237,Chole Poori
2238,Lamb Chops Peshwari
2239,Goat Korma (Bone In)
2240,Roasted Potato & Garlic Soup
2241,Chicken Moilee
2242,Royal Dinner
2243,NAWABI TUKDA
2244,Veggie Special (For Two)
2245,Saag Paneer Medium
2246,Chicken Sekuwa
2247,Chicken Tikka Kebab (All White Meat)
2248,DESI CHICKEN CURRY BRUNCH
2249,PANEER BIRYANI
2250,Lamb Patiala
2251,Onion Seed Naan
2252,Veg Manchuria Gravy
2253,Chicken Shish Kabob (HALAL)
2254,Lamb Okra
2255,LATCHHA PARANTHA LUNCH
2256,Lunch Chicken Curry
2257,Vegetable Curry
2258,Double Egg Dosa
2259,Canned Indian Soda
2260,Aloo Mutter
2261,Madras Veg Korma
2262,Shrimp Makhani
2263,Shrimp Do Piaza Medium
2264,Plain Boiled Basmati Rice
2265,Chicken Tikka Masala Large
2266,DD French Vanila
2267,Water Bottle
2268,Coconut Shrimp
2269,Samosa Or Aloo Tikki With Chole
2270,Whole Tandoori Chicken
2271,Fish Makhani
2272,Chana Saag Medium
2273,Cashew Butter Masala
2274,ALOO RAGDA CHAAT LUNCH TOGO
2275,Poland Spring Water
2276,Goat Fried Rice
2277,TEA
2278,Ck Biryani
2279,Vegetarian Tasting Platter
2280,"""1947"" Tandoor Sampler"
2281,COKE
2282,Chicken Tikka (Roasted)
2283,Fish Xacuti
2284,Beef/Lamb/Goat Saag
2285,Red Onion Chutney
2286,Lychee Cooler
2287,Papdi Chaat
2288,Home Style Goat Curry
2289,Ctm
2290,Kabuli Chana Large
2291,Garden Salad & Soup
2292,Lamb Rogan
2293,Iced Coffee
2294,Shahi Paneer Korma Large
2295,Boneless Chicken Nuggets & French Fries
2296,Bhatura Large
2297,Mutter Mushroom
2298,Egg Sandwich
2299,2 Gulab Jamun
2300,Lamb Hydrabadi
2301,Tofu Do Piaza Small
2302,Choco Chip Uthappam
2303,Catering Beef Mushroom Bhuna (Party)
2304,Vegetarian Pakora
2305,Goa Shrimp Curry
2306,Kashmiri Goat Curry (HALAL)
2307,Tomato & Basil Soup
2308,Aloo Chole
2309,Spring Roll(2)
2310,Tofu Masala Small
2311,Duck Vindaloo
2312,Iced Masala Tea
2313,Baingan Bhartha (Lunch)
2314,Assorted Indian Breads
2315,Cheese Bhel
2316,Hot & Sour Chicken Soup (Manchow)
2317,Priya Green Salad
2318,Goat Masala With Bone
2319,Bento Box (1 Entrée)
2320,Bhindi Masala (Okra)
2321,Monagau Kodi Vepudu
2322,Mango Ice Cream
2323,Mixed Street Noodles
2324,Kashmiri Kadai Paneer
2325,Rasmalai (2)
2326,Chilly Baby Corn
2327,Dal Makhani (Lunch)
2328,Soup Of The Day
2329,Medu Vada (4 Pieces)
2330,Catering Keral Fish Curry (Party)
2331,Tandoori Vegetables
2332,Paneer Xacutti
2333,Rasmalai Medium
2334,Gilawat Botti Kebob Lucknow Style
2335,Idli Sambar
2336,Gulab Jamun Large
2337,Fish Curry (Cod Fish)
2338,Chicken Methiwala (Lunch)
2339,Salty Lassi (Party)
2340,Simomo
2341,Canned San Pellegrino Sparkling Fruit Beverage
2342,Rustica (Tiramisu)
2343,ALOO TIKKI BURGER
2344,FAFDA/JALEBI Pre Order Only
2345,Schezwan Veg Fried Rice
2346,68. Ras Malai
2347,Paneer Kulcha
2348,SHAKEELA
2349,Lentil Soup/ Sambar
2350,Paneer Madras
2351,Egg Boiled Keema
2352,Lassi
2353,Naan Medium
2354,Chili Garlic Naan
2355,Green Chili
2356,Shrimp Biriyani
2357,Spicy Mango Pickle
2358,Channa Saag
2359,Mushroom Soup
2360,Milk Shakes
2361,Guthi Vankaya (Bagara Baingan)
2362,Chana Saag Large
2363,Nimbu Pani
2364,Lamb Patiala Lunch
2365,Anda Paneer
2366,Kerela Fish Curry Large
2367,Kala Chana Salad
2368,Chicken Patia
2369,YELLOW CAKE SLICE
2370,Paneer Chilli
2371,Rasmali
2372,Paneer Spinach MoMo (Jhol)
2373,Butter Paneer
2374,Jhol MOMO
2375,Veg Samsa(50 Pc)Cocktail
2376,34. Beef Tikka Naan
2377,Rustica
2378,Basami Rice
2379,Ajwaini Paratha
2380,Paneer Tikka Masala Large
2381,Catering Tofu Bhurji
2382,Mango Juice (16 Cups)
2383,Daal
2384,Fajjeta
2385,Kadai Panner ( Large Tray )
2386,Lamb Hakka Noodles
2387,Chili Chicken (Main)
2388,Shrimp Vindaloo (Hot)
2389,Malai Chicken Quesadilla (NEW!)
2390,Onion Nan
2391,Aloo Paratha (Vegan)
2392,Veg Hot&Sour Soup
2393,Onion & Chili
2394,Chilli Chicken
2395,Daal Makhni
2396,Spicy Chicken Chili
2397,Vegitable Fried Chilli Momo
2398,Sarso Saag and Makki ki Roti
2399,Stuffed Aloo Tikki
2400,Shrimp Tandoori Masala
2401,Kesar Falooda
2402,"Plates, Napkins, Knifes"
2403,"Seafood & Rice Combo (DF, NF, GF)"
2404,Vegetarian Mixed Platter
2405,Kukuhura Ko Masu Ra Saag
2406,Fresh Lemonade
2407,Beef/Lamb/Goat Bhuna
2408,Bhartha Saag (Lunch)
2409,Gongura Chicken Biryani
2410,NO SH*T SEASONING
2411,Buff Momo
2412,Fish Bhuna
2413,Cheese Chilly Garlic Naan
2414,Lamb Do - Piazza
2415,Seafood Pakora
2416,2. Chicken + Vegetable Combo Platter
2417,P.V. Vindaloo
2418,Paneer Chili Small
2419,Aloo Methi
2420,Mutter Palak
2421,Plantain Chilly
2422,Delivery Fee
2423,Tandoori Chicken Half
2424,Hyderbadi Chicken Dum Ka Biryani
2425,Side Chicken Haleem
2426,Latcha Paratha
2427,Tandoori Roti
2428,Baingan Mirch Salan Medium
2429,The Himalayan Spice
2430,"""Avakaya"" Chicken Curry"
2431,Anger Batata/ Aloo Mirchwala
2432,Chicken Karahi (Boneless)
2433,Garlic Naan
2434,Baingan Bharta Medium
2435,Sheekh Kabab
2436,ONION NAAN
2437,Manchurian Gravy
2438,Coke (Party)
2439,Cashew Gobi Matar
2440,Puri + Goat Curry
2441,Chicken 65
2442,Chicken Do Pyazza
2443,Fish Saag
2444,Chicken Channa
2445,Peas Pullau
2446,Minerva Special Lamb Roast
2447,Aloo Tikki (2 Pc) ( Gluten )
2448,Large Basmati Rice
2449,Onion & Chillis
2450,Fresh Butter Chicken
2451,Muligatwney Soup (Lentil)
2452,Combination Platter Lunch
2453,"Meat Side Entree (NF, GF)"
2454,Chitinadu Dosa
2455,Nabarton Korma ( Large Tray )
2456,Strawberry Lemonade
2457,Vegetable Chilli Momo
2458,Double Ka Meeta
2459,Tandoori Chicken (Half)
2460,Mayuri Special Goat Roast
2461,Guntur Chili Dosa
2462,Mix Vegetables Platter
2463,Poori (2)
2464,Pashawary Nan
2465,Catering Chicken Saag (Party)
2466,Pav Bhaji Bruschetta
2467,Medu Vada (8pc)
2468,Naan 10 Pcs
2469,Mussel Masala
2470,Lobster Asparagus
2471,Can Of Soda
2472,Chicken Pakoras (6)
2473,VINDALOO CHICKEN
2474,Aloo Gobhi (Lunch)
2475,Manchurian ( Veg. / Chicken /Gobi)
2476,Veggie Hakka Noodles
2477,Himalayan Masala Chiya
2478,Chicken Keema Matar
2479,Set Of Chutney
2480,Beef Mushroom Bhuna
2481,Chicken Curry (Lunch)
2482,Green Chilly On Side
2483,LARGE TATER TOTS
2484,TURKEY BURGER
2485,INDIAN STYLE PIZZA
2486,Plain Basmati Rice
2487,Rava Plain Dosa
2488,Grilled Prawns With Anaardana
2489,Idli Sambhar (3)
2490,Catering Beef Biryani
2491,Hyderabadi Baingan Ka Salan
2492,Egg Hakka Noodles
2493,LARGE MASALA WAFFLE FRY
2494,Lamb Kurma
2495,Aloo Masala(Spicy Patato) Grilled Sandwich
2496,Extra Rice
2497,Chicken Tikka Masala (Bestseller)
2498,Goat Saag
2499,Chips
2500,Aloo Tikki (Gluten Free)
2501,Bindhi Masala
2502,Idli 65
2503,Combination Dinner For One
2504,Veg Gongura
2505,Vegetable Coconut Curry (Vegan)
2506,Pulav
2507,Chana Saag Small
2508,Yakhani Chicken Soup
2509,Lentil Soup (Vegan)
2510,Kulfi Mango Ice Cream
2511,Hot Coffee
2512,Chilli Bajji (5 Pieces)
2513,Garlic Naan Large
2514,POTLI SAMOSA
2515,Deep Fried MO:MO
2516,Chana Tikka Masala (Chickpeas Special)
2517,Shan-A-Punjab Vegetarian Platter
2518,Uttapam - With Barbecued Chicken
2519,Vege Pakora
2520,Tofu Masala
2521,Lamb Vindaloo Large
2522,MURGH ANGARA KABOB LUNCH TOGO
2523,GUEST SIZE -(6)
2524,CINNAMON ROLL
2525,Chicken Matar
2526,The Lamb Korma
2527,Street Style Gobi Fry
2528,2 Oz Extra Onions/ Lemons
2529,Lamb Gongura
2530,Gongura Goat
2531,Server at the Event
2532,MANGO LASSI (GF)
2533,"""DABBA"" DAL"
2534,Tandoori Rack Of Lamb
2535,One day liquor permit
2536,Veg Chilly Garlic Rice
2537,Kaju Curry
2538,Cup Of Paan
2539,Tamrind Chut.
2540,Pompano Fish Tikka
2541,Kids' Chicken Fingers & Fries
2542,Gift Card 150
2543,Lamb Bahar
2544,"Meat & Rice Combo (NF, GF)"
2545,Chettinad Chicken Curry
2546,Gilawat Kebab Lucknowi
2547,Chef Platter
2548,Gulab Jamun
2549,Rasam Idli
2550,Spring Roll
2551,Panjabi Chole 12oz
2552,Potato Chatt
2553,Spring Roll (40 Pieces)
2554,Chicken Goa Style
2555,Priya VegPlatter
2556,Shrimp Shrimp Korma
2557,Vegetable Samosa (2 Pieces)
2558,Tangy Chicken Tenders With French Fries
2559,Lasuni Gobi
2560,Daal Tarka
2561,Fish Coconut Curry
2562,Lassi Salted
2563,Veggie Pakora (7 Pcs.)
2564,Coffee
2565,Regular Coffee
2566,Vegan Veg Pulav
2567,Gobi (65)
2568,Shrimp Rogan Josh
2569,Rosemary Naan
2570,Veggie Singh's Platter
2571,Punugulu (12pc)
2572,Curry Beef & Bush Up Shot (Paratha) Roti Until 5pm
2573,Seafood Curry
2574,Lamb Tikka ( Large Tray )
2575,Chicken Methiwala
2576,Channa Paneer
2577,Onion Hot Chilli Utappam
2578,Veg Chilly Garlic Fried Rice
2579,COBB SALAD WITH CHICKEN
2580,Almond Kulfi
2581,Onion & Green Chilli Uttapam
2582,Chicken Chapli Kabob
2583,Salt Lassi
2584,Prawn Biryani
2585,Murg Malai Kabob
2586,Onion Chutney
2587,Ginger Chicken
2588,MOMO with Chicken Soup
2589,"""Gongura"" Prawns Biryani (Shrimp)"
2590,Aloo Chilli
2591,Fried Rice
2592,Lamb Roghan Josh
2593,Ghee Sambar Rice
2594,Lamb Do-Piazza
2595,Aloo Bonda
2596,Matar Paneer
2597,AMRITSARI CHOLE
2598,Chicken Khurchan
2599,Seekh Reshmi Kebab
2600,Mini Puri
2601,Schezwan Veg Noodles
2602,Boti Kabab
2603,Lassi Salty
2604,Gutti Vankay Pulav
2605,Chicken Dopiaza
2606,"""LET'S BUTTER THE CHICKEN"
2607,Veggie Korma
2608,Indian Combo Menu 2
2609,MASALA PEPPER Corn
2610,Kashmiri Goat
2611,"""FANCY"" DOSAI"
2612,Mango Paneer
2613,Jhol MO:MO (MO:MO with Soup)
2614,Extra Sauce / Gravy
2615,Serving Tongs
2616,Tandoor Jhinga
2617,Veg Pakora 40 Pcs
2618,Keema Naan Bread
2619,Gulab Jamun (20 Pieces)
2620,Dahi Bhalla
2621,Mysore Masala Dosa
2622,Lobster Masala
2623,Beet Root Tikki
2624,Garlic Naan Small
2625,Suzi Ko Haluwa (20 Piece)
2626,White Sangria (Glass)
2627,MISS VICKIES SMOKEHOUSE BBQ CHIPS
2628,Chicken (65)
2629,Chicken Korma
2630,Goat Hakka Noodles
2631,Honest Spl. Cheese Masala Papad
2632,Garlic Chicken
2633,Haywards 22 Oz
2634,Extra Bhatura
2635,Chicken Majestic
2636,Chicken Kaathi Rolls (NEW!)
2637,Jhwol Soup Chicken
2638,Garlic Seafood
2639,GATORADE FROST ARTIC FREEZE
2640,Paneer Chili
2641,Veg Box
2642,Hyderabadi Mirchi And Baigan Ka Saalan
2643,Regular Naan ( 10 pc )
2644,Chicken Chili Roll
2645,Chaas
2646,Baygoon Bhoortha
2647,Paneer Pakora (5)
2648,BBQ SH*T SAUCE
2649,HARPOON IPA
2650,Rasmalai (3 Pieces)
2651,Shrimp Do Piazza
2652,Mango Lassi (16 Cups)
2653,Vegetable Biryani (Gluten Free)
2654,Chicken Momo
2655,Sze Egg Noodles
2656,66. Gulab Jamun
2657,Plain Yogurt (3oz)
2658,Veggie Chow Mein
2659,Beef Kofta (2 pcs)
2660,Egg Masala
2661,Fish Madras
2662,Tandoori Mix Grill
2663,Chicken Vindaloo Medium
2664,Large Chicken Tenders
2665,Sweet / Salty Lassi 25
2666,Achari Lamb Chops
2667,Szechwan Street Noodles
2668,Chicken Chennai
2669,Mixed Momo
2670,Herbal Tea
2671,Vegetarian Kheema Masala
2672,Veg Triple Schezuan Rice And Noodles
2673,Chicken Shashlik Lunch
2674,Lamb Curry Small
2675,Pav Bhaji With Toasted Toll - With Barbecued Lamb
2676,Haas Masala
2677,Curry
2678,Egg Half Fry 2Egg +2pav
2679,Thukpa
2680,Dal Fry
2681,Shrimp Coconut Curry
2682,Samosa (2 Pieces)
2683,Gongura
2684,Goat Saagwala
2685,RED HOT
2686,Chapati
2687,Moilee Chicken Curry
2688,Catering Cherry Naan
2689,Murgh Makhani (Butter Chicken)
2690,Puri (2)
2691,Shanti Iftar Box
2692,Eral Varuval
2693,Peshawari Naan Bread
2694,Tamarind Chutney
2695,GUNTUR MIRAPAKAI BAJJI (MIRCHI BAJJI) (3)
2696,Chicken Nuggets W/Fries
2697,Aloo Tiki (2)
2698,Shrimp Hak Noodl
2699,Sikorni (Quart)
2700,Dal Kachori Chaat 2pc
2701,House Iced Tea
2702,Dal Shorba Soup
2703,Fried Prawn Poori
2704,EXTRA RICE
2705,Chicken Palak
2706,Keema Curry
2707,Chicken Dum Biryani
2708,Lamb Curry Roll
2709,Roti Medium
2710,Chicken Vindaloo Meal
2711,6. Beef Kofta Platter
2712,Mix Vege Pakora
2713,Tadka Daal
2714,4oz Tamarind Chutney
2715,Chicken Stir-Fried Noodles
2716,TANDOORI SALMON
2717,Diet Pepsi (2 Liter)
2718,Korma
2719,Paneer Tikka Kebab Main
2720,Dum Aloo Gobi
2721,Non - Vegetarian Dinner for Two
2722,Mattar Paneer
2723,Mac And Cheese
2724,Chicken Makhani Catering
2725,Dahi Papri
2726,Gobhi Pakora
2727,Chicken Tika Masala (Rice Plate)
2728,Gulab Jamon
2729,Meva Malai Kulfi (Conical)
2730,Vada Sambhar (3)
2731,Bhindi Masala( Vegan)
2732,Coriander Chicken Pakora
2733,Gunpowder Dosa (Special Podi With Ghee)
2734,Chicken Kadai
2735,Vegetable Briyani Small
2736,Vegetable Chow Mein
2737,Onion Bhaji (Lunch)
2738,Harvard - Catering For Ten Guests (Veg)
2739,Fish Biryani
2740,Vegetarian Dinner for Two
2741,Sweet Lassi Large
2742,Meat Samosa (2 Pcs.)
2743,Chai
2744,Garlic Paratha
2745,Kebab Platter
2746,Lamb MoMo (Chilly)
2747,GUEST SIZE - (3)
2748,Extra Chutny
2749,Nir Giri Chingri
2750,Chicken Tikka (H)
2751,"50. Special 17 Skewers, Chops & Kebabs"
2752,Jinga Chaat
2753,Tandoori Naan
2754,Gobhi Paratha (Vegan)
2755,Catering Baingan Bhartha
2756,Roti Large
2757,Butter Shrimp Mountain
2758,Paneer Tikka Masala Medium
2759,SPINDRIFT
2760,Sali Boti
2761,Naan Small
2762,Kashmiri Rogan Josh
2763,Basmati Rice
2764,Chicken Methi
2765,Jalebi (Sugar) 1 Lb
2766,2 Samosa
2767,Pepsi
2768,Veg Haka Soft Noodles
2769,Chili Chicken Malai
2770,Kheer Small
2771,Aloo Gobi Masala
2772,32 Oz. Paneer Family Dish
2773,Jhinge Maccha Ko Tarakari
2774,Goan Chicken Vindaloo
2775,Beef/Lamb/Goat Jalfrizi
2776,Non-Vege Platter
2777,Plastic Utensils
2778,TINDORA FRY CURRY 12OZ
2779,Pakori Chatt
2780,Tomato Coconut Shorba
2781,Moglai Paratha
2782,Lays Chips
2783,Punugulu (8 Pieces)
2784,Tandoor Fish
2785,Chocolate Milk Shake
2786,Shrimp Fried Rice
2787,Cheese Naan
2788,Papads ( Vegan )
2789,Mozzarella Naan Large
2790,Plain Maggi
2791,Butterscotch Cone
2792,Chicken Vegetable Curry
2793,Kheer Malai
2794,Shrimp Jalfrezi
2795,Chatpata Limca (Special)
2796,1 Gallon Mango Lassi
2797,Vegetable Samosa for 25 PCS.
2798,Apricot Date Naan
2799,Chili Cilantro Naan
2800,Samosa Bhel Chaat
2801,Bhaji Pav Small Tray
2802,Chicken MoMo (Chilly)
2803,Rava Masala Dosa
2804,Keema Paratha
2805,Samosa Chat ( Gluten )
2806,Goat Curry With Bone
2807,BOURBON STEAK TIP BURGER
2808,Desi Chicken Curry
2809,Channa Masala
2810,Diet Coke
2811,Methi Paratha (Vegan)
2812,Navraton Korma
2813,Channa Masala ( Large Tray )
2814,Dhaba Chicken Fried Rice
2815,Chicken Kabob
2816,Timuri Shrimp Masala
2817,Gulab Jamun(2)
2818,Mirchi Ka Salon
2819,Dry Manchurian
2820,Lamb Seekh Kebob AwRHI
2821,Garlic Lemon Chicken
2822,Butter chicken
2823,Plain Rice 8oz
2824,Chocolate Midnight Delight
2825,SAN PELLEGRINO ORANGE
2826,Mint Lemonade
2827,Lamb Do-Piazab Medium
2828,Lunch Daal Makhani
2829,Baby Corn Manchuria
2830,Dahi Papri (Lunch)
2831,Mango Shake
2832,Tandoori Tikka Wrap
2833,Virgin Mint Mojito
2834,Punjabi Chana Masala
2835,Catering Kheer
2836,Catering Eggplant Chicken (Party)
2837,Kulfi Mango
2838,Chicken Sweet Corn Soup
2839,SEAFOOD KORMA
2840,Catering Chicken Curry (Party)
2841,Ginger Chicken Curry
2842,Honest Special Grill
2843,Chicken Jalfrezi
2844,Pav-Bhaji
2845,Aloo Protta 2pc
2846,Onion Chilli Uttapapam
2847,Goat Roast Biryani (Special Goat Fry)
2848,Roti (Dhal Puri) Skins
2849,Cucumber Salad
2850,Cut Mirchi
2851,Tandoori Roti (2pc)
2852,Chicken Seekh Kebab Salad
2853,CHICKEN SH*T SEASONING
2854,Mustard Lamb Chop (4)
2855,Goat Karahi (Bone-In)
2856,"Parotta2pc ,Yougurt 8oz & Pickels"
2857,Broccoli Nan
2858,Mix Veg Uttappam
